Name,CPUCount,MemoryGB,DiskCapacity (GB),IPs/MACs,IP Address,CenOS Release,Chef Run List,Owner,Priority (1-3),Kill?,Replace,Notes,,,,,
cam-mfsstore,2,5,1509.99999904633,"10.10.89.117, fe80::250:56ff:feaa:1bf5",10.10.89.117,centos 6.4,[tpn-recipe][tpn-omd],,,,,,,,,,
cam-db-master1,2,6,40,"10.10.80.125, fe80::250:56ff:feaa:f2f",10.10.80.125,centos 6.4,[tpn-mysql::_monitoring] [tlc-db-master::opensips] [tlc-db-master::opensips_1_10] [tlc-db-master::cf] [tlc-db-master::os_dispatcher],,,,,,,,,,
cam-db-portal1,2,33.125,230,"10.10.80.123, fe80::250:56ff:feaa:4996",10.10.80.123,centos 6.4,[tpn-mysql::_monitoring] [tlc-db-master::j2] [tlc-db-master::agile] [tlc-db-master::ocp][tlc-db-master::ocp_data],,,,,,,,,,
cam-db-prov1,2,8,80,"10.10.80.124, fe80::250:56ff:feaa:62f3",10.10.80.124,centos 6.4,[tpn-mysql::_monitoring] [tlc-db-master::isym_prov][tlc-db-master::comm_prov] [tlc-db-master::tpn_custom] [tlc-db-master::openfire_repl] [tlc-db-master::device_config] [tlc-db-master::mobile],,,,,,,,,,
cam-db-dwh1,2,8,90,"10.10.80.122, fe80::250:56ff:feaa:4569",10.10.80.122,centos 6.4,[tpn-mysql::_monitoring],,,,,,,,,,
cam-vm-c6,4,3,30,"10.15.89.34, fe80::250:56ff:feaa:32aa, 10.10.89.180, fe80::250:56ff:feaa:32ac, 66.151.176.180, fe80::250:56ff:feaa:32ab",66.151.176.180,centos 5.8,[tpn-dns::caching_named],,,,,,,,,,
cam-vm-vtm1,2,5,20,"10.10.89.29, fe80::250:56ff:feaa:4796",10.10.89.29,centos 6.3,[tpn-base]recipe[tpn-vertica::console],,,,,,,,,,
cdn-dev-mfsstore1,2,2,60,"10.10.222.93, fe80::250:56ff:feaa:1793",10.10.222.93,centos 6.4,[tpn-base]recipe[tpn-mfs::server],,,,,,,,,,
cam-vm-os4,2,3,15,"10.10.89.168, 66.151.176.168",10.10.89.168,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-os3,2,2,44,"10.10.89.167, fe80::20c:29ff:fee0:e455, 66.151.176.167, fe80::20c:29ff:fee0:e45f",66.151.176.167,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-os2,2,3,20,"10.10.89.165, 66.151.176.165",66.151.176.165,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-os1,2,1,28,"10.10.89.164, fe80::20c:29ff:fe95:ef8e, 66.151.176.164, fe80::20c:29ff:fe95:ef98",66.151.176.164,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-g5,2,2,30,"10.10.89.14, fe80::20c:29ff:febb:36db, 66.151.176.14, fe80::20c:29ff:febb:36e5",66.151.176.14,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-g4,2,2,30,"10.10.89.23, fe80::20c:29ff:fe54:68d6, 66.151.176.23, fe80::20c:29ff:fe54:68e0",66.151.176.23,centos 5.8,[tpn-base]recipe[tpn-dns::caching_named],,,,,,,,,,
cam-vm-pg1a,3,48,250,"10.10.89.203, fe80::250:56ff:feaa:534b",10.10.89.203,centos 6.3,[tpn-base][tpn-mfsclient::mfsstore],,,,,,,,,,
cam-vm-u2,1,0.5,200,10.10.89.225,10.10.89.225,centos 5.8,[tpn-base][tpn-dns::caching_named][tpn-mfsclient::store3],,,,,,,,,,
cam-vm-u3,1,2,306,"10.10.89.236, 10.10.90.236",10.10.89.236,centos 5.8,[tpn-base][indexer-role-legacy],,,,,,,,,,
cam-db3,2,8,97.65625,"10.10.89.32, fe80::250:56ff:feaa:29be",10.10.89.32,centos 6.4,[tpn-base] recipe[tpn-mfsclient::mfsstore],,,,,,,,,,
cam-cass2,2,8,80,"10.10.80.2, fe80::250:56ff:feaa:7b63",10.10.80.2,centos 6.4,[tpn-base] recipe[tpn-cassandra] [tpn-cassandra::opscenter_server],,,,,,,,,,
cam-db-slave1,2,2,30,"10.10.80.58, fe80::250:56ff:feaa:30fb",10.10.80.58,centos 6.4,[tpn-base] recipe[tlc-db-slave::cf],,,,,,,,,,
cam-mon7,2,2,30,"10.10.80.196, fe80::250:56ff:feaa:6a4",10.10.80.196,centos 6.4,[tpn-base] [tpn-omd],,,,,,,,,,
cam-vm-ws2,4,2,30,"10.10.89.183, fe80::250:56ff:feaa:328c, 66.151.176.132, 66.151.176.76, 66.151.176.111, 66.151.176.109, 66.151.176.247, 66.151.176.77, 66.151.176.121, 66.151.176.236, 66.151.176.21, fe80::250:56ff:feaa:328d, 10.3.89.13, fe80::250:56ff:feaa:4091",66.151.176.132,centos 6.3,[tpn-base] [tpn-mfsclient::store3] [tpn-mfsclient::store7] [tpn-mfsclient::store7],,,,,,,,,,
cam-vm-ws1,4,3,30,"10.10.89.182, fe80::250:56ff:feaa:3289, 66.151.176.3, 66.151.176.110, 66.151.176.112, 66.151.176.235, 66.151.176.113, 66.151.176.246, 66.151.176.79, 66.151.176.90, 66.151.176.118, 66.151.176.163, 66.151.176.26, fe80::250:56ff:feaa:328a, 10.3.89.12, fe80::250:56ff:feaa:4090",66.151.176.3,centos 6.2,[tpn-base] [tpn-mfsclient::store3] [tpn-mfsclient::store7],,,,,,,,,,
cam-vm-doc1,4,4,210,"10.10.89.141, fe80::20c:29ff:fe01:f1af",10.10.89.141,centos 6.2,[tpn-base] [tpn-mfsclient::mfsstore],,,,,,,,,,
cam-vm-back1,2,4,1054,"10.10.80.111, fe80::250:56ff:feaa:3ed8, 10.17.89.99, fe80::250:56ff:feaa:970",10.10.80.111,centos 6.4,[tpn-base] [tpn-mfsclient::mfsstore],,,,,,,,,,
cdn-z,2,8,1083.99999904633,"10.10.222.90, fe80::250:56ff:feaa:1bf2",10.10.222.90,centos 6.4,[tpn-base] [tpn-kickstart::tftpd],,,,,,,,,,
cam-vm-js1,4,8,60,"10.10.80.11, fe80::250:56ff:feaa:1bea",10.10.80.11,centos 6.4,[tpn-base] [tpn-java]recipe[tpn-java::jce_policy] [tpn-maven],,,,,,,,,,
cam-vm-p1,4,16,202,"10.10.89.22, fe80::250:56ff:feaa:1887, 66.151.176.27, fe80::250:56ff:feaa:be6",10.10.89.22,centos 6.4,[tpn-base] [tpn-java] [tpn-mfsclient::mfsstore] [tpn-mfsclient::store2] [tpn-mfsclient::store3] [tpn-mfsclient::store5],,,,,,,,,,
cam-vm-doc2,2,4,30,"10.10.80.103, fe80::250:56ff:feaa:39f8",10.10.80.103,centos 6.4,[tpn-base] [tpn-java] [tpn-certs::wildcard] [tpn-httpd] [tpn-mfsclient::mfsstore],,,,,,,,,,
cam-vm-d6,4,12,172,"10.10.89.92, 10.10.89.231, 10.10.89.250, 10.10.89.251, 10.10.89.59, fe80::20c:29ff:fe1b:5f7a, 192.168.89.4, fe80::20c:29ff:fe1b:5f84, 10.22.89.92, fe80::20c:29ff:fe1b:5f8e",10.10.89.92,centos 5.8,[tpn-base] [tpn-java],,,,,,,,,,
cam-vm-d5,4,10,252,"10.10.89.82, 10.10.89.248, 10.10.89.249, 10.10.89.244, 10.10.89.243, 10.10.89.83, 10.10.89.65, fe80::20c:29ff:fe58:f4c8, 192.168.89.3, fe80::20c:29ff:fe58:f4d2",10.10.89.82,centos 5.8,[tpn-base] [tpn-java],,,,,,,,,,
cam-prov-ws2,2,2,30,"10.10.80.68, fe80::250:56ff:feaa:6527, 66.151.176.88, 66.151.176.95, 66.151.176.96, fe80::250:56ff:feaa:60d4",66.151.176.88,centos 6.4,[tpn-base] [tpn-httpd] [tpn-mfsclient::store3] [tpn-mfsclient::store6],,,,,,,,,,
cam-prov-ws1,2,2,30,"10.10.80.127, fe80::250:56ff:feaa:3128, 66.151.176.84, 66.151.176.93, 66.151.176.120, fe80::250:56ff:feaa:5a68",66.151.176.84,centos 6.4,[tpn-base] [tpn-httpd] [tpn-mfsclient::store3] [tpn-mfsclient::store6],,,,,,,,,,
cam-ps1,2,2,30,"10.10.89.108, fe80::250:56ff:feaa:5fb3",10.10.89.108,centos 6.4,[tpn-base] [tpn-httpd],,,,,,,,,,
cam-prov-log1,2,2,30,"10.10.80.71, fe80::250:56ff:feaa:25d5",10.10.80.71,centos 6.4,[tpn-base] [tpn-elasticsearch],,,,,,,,,,
cam-vm-g8,2,2,30,"10.10.89.16, fe80::20c:29ff:feab:e09b, 66.151.176.22, fe80::20c:29ff:feab:e0a5",66.151.176.22,centos 5.6,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-m1,4,2,30,"10.10.89.139, 66.151.176.139",66.151.176.139,centos 5.7,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-mon1,2,3,30,"10.10.89.241, fe80::20c:29ff:fef1:f6d1, 66.151.176.241, fe80::20c:29ff:fef1:f6db",66.151.176.241,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g9,2,2,30,"10.10.89.17, fe80::20c:29ff:fe00:aa4e, 66.151.176.17, fe80::20c:29ff:fe00:aa58",66.151.176.17,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g7,2,2,30,"10.10.89.15, fe80::20c:29ff:fe90:54ea, 66.151.176.12, fe80::20c:29ff:fe90:54f4",66.151.176.12,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g3,2,2,30,"10.10.89.13, fe80::20c:29ff:fe15:ed02, 66.151.176.13, fe80::20c:29ff:fe15:ed0c",66.151.176.13,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
cam-vm-g2,4,2,30,"10.10.89.20, fe80::20c:29ff:fe3d:479d, 66.151.176.20, fe80::20c:29ff:fe3d:47a7",66.151.176.20,centos 5.8,[tpn-base] [tpn-dns::caching_named],,,,,,,,,,
